Time,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/h-sl-meters
23.024,-115.866789734714587,37.1128716249705448,1068.55090944412359
23.032,-115.86681467548793,37.1128856875551847,1068.42915876904431
23.04,-115.866839616522853,37.112899750271545,1068.30740803037884
23.048,-115.866864557819383,37.112913813119583,1068.18565722926269
23.056,-115.866889499377365,37.1129278760992634,1068.06390636796664
23.064,-115.866914441196784,37.1129419392105433,1067.9421554419489
23.072,-115.866939383277554,37.112956002453366,1067.82040445575126
23.08,-115.86696432561962,37.1129700658277386,1067.69865340823844
23.088,-115.866989268222895,37.1129841293335829,1067.57690230054573
23.096,-115.86701421108738,37.1129981929709274,1067.4551511315376
23.104,-115.867039154212918,37.1130122567396725,1067.3333999000788
23.112,-115.867064097599481,37.113026320639797,1067.21164860844033
23.12,-115.867089041247027,37.1130403846712653,1067.08989725775723
23.128,-115.86711398515547,37.1130544488340419,1066.96814584462345
23.136,-115.867138929324724,37.1130685131280913,1066.84639437358078
23.144,-115.867163873754777,37.1130825775533992,1066.72464284462944
23.152,-115.867188818445541,37.1130966421099018,1066.60289125436248
23.16,-115.867213763396904,37.1131107067975634,1066.48113960278033
23.168,-115.867238708608838,37.1131247716163344,1066.35938789328929
23.176,-115.867263654081313,37.1131388365661721,1066.23763612021207
23.184,-115.867288599814174,37.1131529016470765,1066.11588429036146
23.192,-115.867313545807463,37.113166966859005,1065.99413239805995
23.2,-115.867338492061066,37.1131810322019433,1065.87238044557876
23.208,-115.867363438574898,37.1131950976758134,1065.75062843405317
23.216,-115.867388385348931,37.1132091632805796,1065.62887636348319
23.224,-115.867413332383052,37.1132232290161781,1065.5071242327333
23.232,-115.867438279677202,37.113237294882623,1065.38537204066824
23.24,-115.867463227231354,37.1132513608798362,1065.26361978842328
23.248,-115.867488175045452,37.1132654270078746,1065.14186747713393
23.256,-115.867513123119409,37.1132794932665888,1065.02011510680018
23.264,-115.867538071453126,37.1132935596560003,1064.89836267515125
23.272,-115.867563020046674,37.1133076261761801,1064.77661018332242
23.28,-115.867587968899997,37.1133216928271281,1064.6548576279074
23.288,-115.86761291801291,37.1133357596086455,1064.53310501799001
23.296,-115.867637867385341,37.113349826520718,1064.41135234902799
23.304,-115.86766281701729,37.1133638935633314,1064.2895996187508
23.312,-115.867687766908602,37.1133779607363934,1064.16784683170022
23.32,-115.867712717059291,37.1133920280398897,1064.04609398333446
23.328,-115.867737667469243,37.1134060954737492,1063.92434107933059
23.336,-115.867762618138386,37.1134201630379295,1063.80258811514682
23.344,-115.867787569066692,37.1134342307324374,1063.68083509305416
23.352,-115.867812520254091,37.1134482985572376,1063.55908201078182
23.36,-115.867837471700525,37.113462366512266,1063.43732886946509
23.368,-115.86786242340591,37.1134764345974943,1063.31557567251025
23.376,-115.867887375370174,37.1134905028128728,1063.19382241651124
23.384,-115.867912327593274,37.1135045711583871,1063.07206910146783
23.392,-115.867937280075139,37.1135186396340018,1062.95031572738003
23.4,-115.867962232815714,37.1135327082396955,1062.82856229538334
23.408,-115.867987185814954,37.1135467769754115,1062.70680880661325
23.416,-115.868012139072746,37.1135608458411141,1062.58505525993405
23.424,-115.868037092589049,37.1135749148367609,1062.46330165421068
23.432,-115.868062046363804,37.1135889839623232,1062.34154799171392
23.44,-115.868087000396898,37.1136030532177514,1062.21979427130827
23.448,-115.868111954688331,37.11361712260301,1062.09804049185823
23.456,-115.868136909238018,37.1136311921180919,1061.97628665677007
23.464,-115.868161864045874,37.1136452617629402,1061.85453276263775
23.472,-115.868186819111884,37.1136593315375265,1061.73277881286754
23.48,-115.868211774435949,37.113673401441801,1061.61102480632371
23.488,-115.868236730017969,37.1136874714757212,1061.489270741871
